id,img,field,name,brand,price,pricestring,ram,ramtype,rom,romtype,rez,cpu,gpu,usage,description
21,21,laptop,لپ‌تاپ لنوو مدل IdeaPad Slim 3 15IRU8,len,29700000,۲۹.۷۰۰.۰۰۰,8,ddr5,256,ssd,1080,Core i3,none,عمومی,سری IdeaPad لپ‌تاپ‌های لنوو طیف وسیعی از گزینه‌های مختلف با مشخصات سخت‌افزاری و قیمت متنوع در اختیار کاربران قرار می‌دهد‌. لپ‌تاپ IdeaPad Slim 3 15IRH8 یکی از گزینه‌های ایده‌آل برای کاربری روزمره و عمومی و استفاده برای کار و تحصیل محسوب می‌شود‌. این لپ‌تاپ 15.6 اینچی تنها 1.62 کیلوگرم وزن داشته و با ابعاد جمع و جور، یکی از بهترین گزینه‌ها برای حمل و جابجایی خواهد بود‌. نمایشگر از پنل IPS با روزولوشون 1920 در 1080 یا همان Full HD استفاده می‌کند. نرخ به‌روزرسانی 60 هرتزی و روشنایی 300 نیتی برای این رده کاربری خوب به نظر می‌رسد‌. برای پردازنده مرکزی، لنوو به سراغ میان‌رده نسل 13 اینتل یعنی Core i5 مدل 13420H رفته است. این پردازنده با وجود 8 هسته و 12 رشته پردازشی و حداکثر فرکانس 4.6 گیگاهرتزی، از پس تمام نیازهای کاربر برآمده و ارزش بالایی در برابر قیمت دارد. پردازنده گرافیکی مجزا برای این مدل در نظر گرفته نشده و پردازنده گرافیکی UHD به صورت مجتمع با پردازنده مرکزی وظایف این بخش را بر عهده دارد‌. 16 گیگابایت حافظه رم به‌روز LPDDR5 با سرعت 4800 مگاهرتزی می‌تواند در کنار پردازنده مرکزی قدرتمند، تجربه کاربری روان و بدون لگی برای کاربر فراهم کند. برای ذخیره اطلاعات هم یک ترابایت حافظه SSD پرسرعت در نظر گرفته شده تا زمان بارگذاری‌ها و انتقال‌ فایل‌ها نسبت به هاردهای سنتی کاهش قابل توجهی داشته باشد. باتری 3 سلولی با ظرفیت 47 وات ساعت، درگاه‌های متنوع و متعدد از دیگر ویژگی‌های مهم IdeaPad Slim 3 15IRH8 هستند.
22,22,laptop,لپ تاپ ام اس آی مدل Cyborg 15 A13UCX,msi,61226500,۶۱.۲۲۶.۵۰۰,16,ddr5,512,ssd,1080,A13UCX i5,GeForce RTX 2050,gaming,لپ‌تاپ گیمینگ اقتصادی MSI Thin 15 B12UCX آمده تا برای کاربرانی با بودجه محدود یا افرادی که قصد ندارند هزینه زیادی را برای یک لپ‌تاپ بپردازند، یک گزینه درخشان باشد. این لپ‌تاپ گیمینگ با ظاهر جذاب و گیمرپسند خود، نگاه شما را می‌رباید. جالب این‌که وزن آن به ۱.۸۶ کیلوگرم می‌رسد تا نسبت‌به اکثر لپ‌تاپ‌های گیمینگ بازار سبک‌تر باشد. کیبورد MSI Thin 15 از نورپردازی آبی بهره‌مند شده تا ظاهری متمایز و جذاب داشته باشد. وب‌کم HD 720p و بلندگوهای استریوی آن نیز تجربه مناسبی را برای برقراری تماس ویدیویی رقم می‌زنند. پردازنده مرکزی نسل ۱۲ اینتل، یعنی Core i5-12450H در این مدل تعبیه شده است. این پردازنده از چهار هسته قدرتمند و چهار هسته Efficient قدرت می‌گیرد تا فرکانس توربوی آن به رقم ۴.۴ گیگاهرتز برسد. ام‌اس‌آی تراشه گرافیکی مجزای انویدیا جی‌فورس RTX 2050 را با چهار گیگابایت حافظه GDDR6 و پشتیبانی از DLSS 2.0 و رهگیری پرتو در لپ‌تاپ خوش‌قیمت خود به‌کار گرفته است. اسلات‌های حافظه رم و فضای ذخیره‌سازی این لپ‌تاپ قابلیت ارتقا دارند. چنین ترکیب سخت‌افزاری اجازه تجربه با کیفیت بازی‌های روز آن هم بدون نیاز به پرداخت هزینه زیاد را می‌دهد. نمایشگر ۱۵.۶ اینچی IPS آن از رزولوشن FHD و نرخ نوسازی ۱۴۴ هرتز برخوردار است. با این نمایشگر، تصاویر کاملا روان و شفاف نمایش داده می‌شوند تا تجربه بازی کردن نرم و بدون کندی داشته باشید. سه پورت USB-A 3.2، یک USB-C، خروجی ویدیوی HDMI، درگاه شبکه و جک صدا از درگاه‌های ارتباطی این لپ‌تاپ هستند. باتری MSI Thin 15 با ظرفیت ۵۲.۴ وات ساعت، بین پنج تا شش ساعت شارژدهی می‌کند.
23,23,laptop,لپ تاپ لنوو مدل IdeaPad Slim 3,len,42299000,۴۲.۲۹۹.۰۰۰,8,ddr5,512,ssd,1080,core i5,none,عمومی,لنوو با معرفی لپ‌تاپ IdeaPad Slim 3 15IRH10 به عنوان یکی از جدیدترین مدل‌های سال ۲۰۲۵، گزینه‌ی مناسبی برای استفاده روزمره و عمومی در اختیار کاربران قرار داده است. این لپ‌تاپ از پردازنده قدرتمند Core i5 مدل 13420H بهره می‌برد که با وجود ۸ هسته و ۱۲ رشته، از توانایی لازم برای انجام پردازش‌های مورد نیاز کاربر برخوردار است. در کنار پردازنده مرکزی، واحد پردازش گرافیکی یکپارچه UHD در نظر گرفته شده که برای امور روزمره و عمومی کفایت می‌کند. حافظه رم DDR5 با فرکانس ۴۸۰۰ مگاهرتز و حافظه SSD پرسرعت از دیگر نکات حائز اهمیت این لپ‌تاپ به شمار می‌آیند‌. صفحه‌نمایش ۱۵.۳ اینچی از پنل IPS با زوایای دید گسترده و دقت رنگ مناسب تشکیل شده و با ترکیب رزولوشن Full HD و نرخ به‌روز رسانی ۶۰ هرتزی، تجربه‌ی استانداردی فراهم می‌کند. طراحی ساده و ظریف، درگاه‌های متنوع و نورپردازی کیبورد برخی دیگر از ویژگی‌های این میان‌رده کاربردی هستند‌.
24,24,laptop,لپ تاپ ایسوس مدل Vivobook 17X,asu,60000000,۶۰.۰۰۰.۰۰۰,16,ddr4,512,ssd,1080,1355U,none,عمومی,لپ‌تاپ ASUS VivoBook 17X با نمایشگر برجسته 17.3 اینچی، پردازنده قدرتمند Intel Core i7-1355U نسل 13 و زاویه لغزش 180 درجه، ترکیبی ایده‌آل از عملکرد برتر و انعطاف‌پذیری را ارائه می‌دهد. حافظه رم با سرعت 3200 مگاهرتز و نوع 4DDR برای لپ‌تاپ ASUS Vivobook 17X، عملکرد سیستم را بهبود می‌بخشد. این دستگاه با اتصالات فراوانی نظیر USB 3.2 Gen 1 Type C، Wi-Fi 5 و بلوتوث 5.2، امکان ارتباط مؤثر با دیگر دستگاه‌ها و شبکه‌ها را فراهم می‌سازد. با وزن 2.1 کیلوگرم و ضخامت 0.78 اینچ، این لپ‌تاپ به‌عنوان یک همراه قابل‌حمل و ظریف به ویژه برای افرادی که در حال سفر و تحرک هستند مناسب است. باتری مناسب برای استفاده معمول در روزمره و تاچ‌پد عالی در این لپ‌تاپ و طراحی شیک و سبک با و حاشیه‌های باریک، جذابیت بصری خاصی به VivoBook 17X می‌بخشد. به طور کلی، این لپ‌تاپ با ترکیب قابلیت‌های فنی و ظاهر زیبا، یک شروع تازه و درخشان را برای کاربران خود به ارمغان می‌آورد.
25,25,laptop,لپ تاپ لنوو مدل IdeaPad Slim 3,len,30999000,۳۰.۹۹۹.۰۰۰,8,ddr5,512,ssd,1080,1315U,none,عمومی,لپ‌تاپ IdeaPad Slim 3 15IRU8 با طراحی منحصربه‌فرد و ویژگی‌های برجسته ارائه می‌شود. پردازنده Intel Core i3-1335U با سرعت 4.5 گیگاهرتز و رم از نوع LPDDR5 گیگابایت با سرعت 4800 مگاهرتز، به همراه انواع درگاه‌های ارتباطی متنوع و کاربردی، این لپ‌تاپ را به یک گزینه کاربردی و کارآمد برای کاربران تبدیل کرده است. همچنین در این لپ‌تاپ از پردازنده گرافیکی UHD Graphics از خانوادة پردازنده‌های گرافیکی مدل‌های UHD Intel استفاده شده است. با تاچ‌پد با چند لمس به‌صورت هم‌زمان، این دستگاه ارتباط کاربری را به سطح بالاتری ارتقاء داده و تجربه کامل و چندوجهی را ارائه می‌دهد. با باتری سه سلولی با ظرفیت 47 وات ساعت، این دستگاه قدرتمند طول عمر باتری بلندی را فراهم می‌کند. وجود وب‌کم با کیفیت 720p و Privacy Shutter برای حفظ حریم خصوصی، اسپیکرهای استریو با بهینه‌سازی توسط Dolby Audio و توان 1.5 وات، و صفحه‌نمایش Full HD 15.6 اینچی با رزولوشن بالا و میزان روشنایی مناسب، تجربه چشمگیری از لحاظ تصویری و صوتی ایجاد می‌کند.
26,26,laptop,لپ تاپ ایسوس مدل TUF Gaming F16,asu,89300000,۸۹.۳۰۰.۰۰۰,16,ddr5,512,ssd,1080,Core 5 210H,GeForce RTX 4050,gaming,ایسوس با سری لپ‌تاپ‌های TUF، گزینه‌های قدرتمند و با قیمت مناسب برای تجربه‌ی بازی‌ها ارائه می‌کند. این لپ‌تاپ‌ها با ترکیب‌های متعددی از سخت‌افزار و در بازه‌‌های قیمتی مختلفی در دسترس قرار دارند. لپ‌تاپ TUF Gaming F16 FX607VU به عنوان یکی از گزینه‌های میان‌رده شناخته می‌شود که از قدرت و امکانات مناسبی برخوردار است. این لپ‌تاپ 16 اینچی با وجود جا دادن سخت‌افزار قدرتمند و به‌روز، همچنان وزن مناسب 2.2 کیلوگرمی داشته و مشکل چندانی در حمل و جابجایی آن نخواهید داشت. پردازنده Core 5 مدل 210H، از 8 هسته و 12 رشته پردازشی برخوردار است و فرکانس نهایی 4.8 گیگاهرتزی دارد. به این ترتیب این پردازنده به راحتی از پس پردازش‌های سنگین برمی‌آید و مشکلی برای اجرای بازی‌های سنگین ندارد. پردازنده گرافیکی به‌روز GeForce RTX 4050 با شش گیگابایت حافظه اختصاصی GDDR6 یکی از بهترین گزینه‌های اقتصادی برای اجرای بازی‌های روز با تنظیمات گرافیکی خوب و نرخ فریم روان به حساب می‌آید. این گرافیک نسل 4000 انویدیا می‌تواند با پشتیبانی از فناوری DLSS نرخ فریم بالایی فراهم می‌کند. حافظه رم DDR5 با فرکانس 5600 مگاهرتزی برای این مدل در نظر گرفته شده که به خوبی از پس اجرای چندین برنامه به صورت همزمان برمی‌آید. حافظه پرسرعت SSD از حجم کافی برای ذخیره تمام بازی‌های و برنامه مورد نیاز کاربر برخوردار است و سرعت بالای آن زمان کم بارگذاری‌ها و انتقال فایل‌های مختلف را تضمین می‌کند. صفحه‌نمایش 16 اینچی با رزولوشن Full HD و پنل IPS نرخ به‌روز رسانی 144 هرتزی دارد که ترکیب ایده‌آلی با سخت‌افزار قدرتمند این لپ‌تاپ می‌سازد‌. این نمایشگر ضمن پشتیبانی از فناوری G-Sync برای روان‌تر کردن تجربه کاربری، دقت رنگ مناسب و زوایای دید گسترده‌ای دارد. باتری 4 سلولی با ظرفیت 56 وات ساعتی، درگاه تاندربولت 4 و نورپردازی RGB کیبورد از دیگر ویژگی‌های مهم TUF Gaming F16 FX607VU به شمار می‌آیند.
27,27,laptop,لپ تاپ ایسوس مدل Vivobook 15,asu,45800000,۴۵.۸۰۰.۰۰۰,16,ddr4,512,ssd,1080,1334U,none,عمومی,سری لپ تاپ‌های Vivobook 15 ایسوس با داشتن طراحی مناسب و ویژگی‌های فنی متناسب، قیمت معقولی هم دارند و برای دانشجویان یا کارهای روزمره و اداری گزینه‌ای عالی محسوب می‌شوند. لپ تاپ مدل F1504ZA هم عضوی از این سری است که در درجه اول کیفیت ساخت آن توجه را به خود جلب می‌کند. وزن ۱.۷ کیلوگرمی برای حمل و نقل روزمره عالی است و صفحه نمایش ۱۵.۶ اینچی با رزولوشن فول اچ دی هم کاملا استاندارد و قابل قبول است. در بخش فنی، پردازنده نسل 12 اینتل مدل Core i5 1235U را داریم که با توجه به ماکسیمم فرکانس 4.4 گیگاهرتزی و ترکیب با رم DDR4 و حافظه SSD برای انجام انواع کارهای روزانه و معمول قابلیت‌هایی عالی ارائه می‌دهد. البته از پردازنده گرافیکی با حافظه اختصاصی خبری نیست که این موضوع در لپ تاپ های اقتصادی و میانرده کاملا طبیعی محسوب می‌شود. وبکم و اسپیکرهای باکیفیت از دیگر ویژگی‌های جذاب این لپ تاپ هستند. این لپ تاپ توسط شرکت وارد کننده کاستوم شده و برخی از مشخصات آن ارتقا یافته است.
28,28,laptop,لپ‌تاپ لنوو مدل IdeaPad 1,len,20590700,۲۰.۵۹۰.۷۰۰,4,ddr4,256,ssd,1080,Celeron-N4500,none,عمومی,لپ‌تاپ لنوو IdeaPad 1 15IJL7 با طراحی جمع‌وجور و وزن سبک ۱.۵۵ کیلوگرم برای کاربران عمومی و استفاده روزمره مناسب است. بدنه پلاستیکی با ضخامت ۱۷.۹ میلی‌متر، حمل آسان و دوام کافی را ارائه می‌دهد و ظاهر مینیمال آن برای محیط‌های کاری و خانگی جذابیت دارد. صفحه‌نمایش ۱۵.۶ اینچی TN با وضوح Full HD و روکش مات، تصاویر واضح با رنگ‌های قابل قبول برای وب‌گردی، تماشای فیلم و کارهای سبک فراهم می‌کند و نرخ تازه‌سازی ۶۰ هرتز تجربه‌ای روان برای استفاده روزمره ایجاد می‌کند. پردازنده Intel Celeron N4500 با دو هسته و دو رشته پردازشی و فرکانس ۱.۱ تا ۲.۸ گیگاهرتز، همراه با گرافیک مجتمع UHD Graphics، عملکرد مناسبی برای مرور وب، کار با اسناد و برنامه‌های سبک دارد. حافظه رم ۸ گیگابایتی DDR4 با فرکانس ۲۹۳۳ مگاهرتز و ترکیب یک اسلات آنبرد و یک اسلات SO-DIMM، امکان اجرای چند برنامه سبک به صورت همزمان و ارتقای حافظه در آینده را فراهم می‌کند. حافظه داخلی ۲۵۶ گیگابایتی SSD با رابط PCIe NVMe سرعت بالای بارگذاری برنامه‌ها و انتقال فایل‌ها را تضمین می‌کند. باتری سه سلولی ۴۲ وات‌ساعتی با پشتیبانی از شارژ سریع، شارژدهی تا ۱۱ ساعت در حالت استفاده سبک ارائه می‌دهد و مناسب همراهی با کاربر در طول روز است. کیبورد با صفحه کلید اعداد و تاچ‌پد بدون دکمه با پشتیبانی از چند لمس، تجربه تایپ و حرکت روان دست را فراهم می‌کند. دو اسپیکر استریو با فناوری دالبی و وبکم HD با شاتر حریم خصوصی، امکانات چندرسانه‌ای و امنیتی کافی ارائه می‌دهند. درگاه‌های ارتباطی متنوع شامل USB 2.0 / USB 3.2 Type-A / USB 3.2 Type-C / HDMI 1.۴ / جک صدا و شبکه Wi-Fi ۶ و بلوتوث ۵.۲، اتصال آسان به دستگاه‌های جانبی و اینترنت را تضمین می‌کنند. این لپ‌تاپ بدون سیستم عامل عرضه شده و گزینه‌ای اقتصادی و کاربردی برای دانش‌آموزان و دانشجویان محسوب می‌شود.
29,29,laptop,لپ‌تاپ لنوو IdeaPad Slim 3,len,39600000,۳۹.۶۰۰.۰۰۰,8,ddr5,512,ssd,1080,???,none,عمومی,سری IdeaPad لپ‌تاپ‌های لنوو طیف وسیعی از گزینه‌های مختلف با مشخصات سخت‌افزاری و قیمت متنوع در اختیار کاربران قرار می‌دهد‌. لپ‌تاپ IdeaPad Slim 3 15IRH8 یکی از گزینه‌های ایده‌آل برای کاربری روزمره و عمومی و استفاده برای کار و تحصیل محسوب می‌شود‌. این لپ‌تاپ 15.6 اینچی تنها 1.62 کیلوگرم وزن داشته و با ابعاد جمع و جور، یکی از بهترین گزینه‌ها برای حمل و جابجایی خواهد بود‌. نمایشگر از پنل TN با روزولوشون 1920 در 1080 یا همان Full HD استفاده می‌کند. نرخ به‌روزرسانی 60 هرتزی و روشنایی 250 نیتی برای این رده کاربری کافی به نظر می‌رسد‌. برای پردازنده مرکزی، لنوو به سراغ میان‌رده نسل 13 اینتل یعنی Core i5 مدل 13420H رفته است. این پردازنده با وجود 8 هسته و 12 رشته پردازشی و حداکثر فرکانس 4.6 گیگاهرتزی، از پس تمام نیازهای کاربر برآمده و ارزش بالایی در برابر قیمت دارد. پردازنده گرافیکی مجزا برای این مدل در نظر گرفته نشده و پردازنده گرافیکی UHD به صورت مجتمع با پردازنده مرکزی وظایف این بخش را بر عهده دارد‌. هشت گیگابایت حافظه رم به‌روز LPDDR5 مگاهرتزی می‌تواند در کنار پردازنده مرکزی قدرتمند، تجربه کاربری روان و بدون لگی برای کاربر فراهم کند. برای ذخیره اطلاعات هم یک ترابایت حافظه SSD پرسرعت در نظر گرفته شده تا زمان بارگذاری‌ها و انتقال‌ فایل‌ها نسبت به هاردهای سنتی کاهش قابل توجهی داشته باشد. باتری 3 سلولی با ظرفیت 47 وات ساعت، درگاه‌های متنوع و متعدد از دیگر ویژگی‌های مهم IdeaPad Slim 3 15IRH8 هستند.
30,30,laptop,لپ‌تاپ اچ‌ پی مدل G10 255,hp,27100000,۲۷.۱۰۰.۰۰۰,8,ddr4,512,ssd,1080,Silver 7120U,none,عمومی,لپ‌تاپ اچ‌پی G10 255 با پردازنده نسل هفتم AMD Ryzen از دسته مدل‌های اقتصادی این برند محسوب می‌شود که برای استفاده روزمره و کاربری عمومی کاملاً مناسب است. این لپ‌تاپ اقتصادی ۱.۵۲ کیلوگرم وزن و ۱۸.۶ میلی‌متر ضخامت دارد تا قابلیت حمل بالایی داشته باشد. صفحه‌نمایش مات ۱۵.۶ اینچی TN این لپ‌تاپ اقتصادی ویژگی‌هایی چون رزولوشن Full HD، روشنایی ۲۵۰ نیت و نرخ نوسازی تصویر ۶۰ هرتز را با خود یدک می‌کشد. کیبورد فول‌سایز مجهز به نامبرپد، تاچ‌پد با پشتیبانی از چند لمس همزمان و ژست‌های لمسی ویندوز، وب‌کم با وضوح HD 720p و دو عدد بلندگوی داخلی استریو نیز از دیگر مشخصات آن در این بخش به‌شمار می‌روند. پردازنده AMD Ryzen Athlon Silver 7120U به عنوان قلب تپنده این لپ‌تاپ، از دو هسته با حداکثر فرکانس ۳.۵ گیگاهرتزی و دو رشته پردازشی قدرت می‌گیرد. با این مشخصات، لپ‌تاپ G10 255 برای اموری مانند وب‌گردی، پخش ویدیو، استفاده از مجموعه مایکروسافت Office و تولید محتوای متنی مناسب است. ماژول گرافیکی یکپارچه AMD Radeon 610M نیز برای پردازش‌های گرافیکی معمولی و سبک می‌تواند نقش خوبی ایفا کند. بخش درگاه‌های ارتباطی این لپ‌تاپ اچ‌پی از دو عدد USB-A 3.2، یک USB-C، خروجی HDMI و جک هدفون تشکیل شده است. ارتباطات بی‌سیم این لپ‌تاپ نیز به‌لطف پشتیبانی از استانداردهای Wi-Fi 6 و بلوتوث 5.3 به‌روز محسوب می‌شود. اچ‌پی از اسلات‌های قابل ارتقای حافظه رم DDR4 با سرعت ۳۲۰۰ مگاهرتز و حافظه ذخیره‌سازی پرسرعت SSD M.2 NVMe PCIe استفاده کرده است. باتری دستگاه نیز ۴۱ وات ساعت ظرفیت دارد تا برای چند ساعت استفاده عمومی دوام بیاورد.
