id,img,field,name,brand,price,pricestring,screensize,weight,ram,rom,maincamrez,selficamrez,tarakompixeli,description
81,81,tablet,تبلت سامسونگ مدل Galaxy Tab A9-4G,sam,12750000,۱۲.۷۵۰.۰۰۰,8.7 اینچ,,4,64,8,2,179,تبلت سامسونگ مدل Galaxy Tab A9 یکی از تبلت‌های میان رده و با قیمت اقتصادی سامسونگ است که پس از عرضه به یکی از مدل‌های پرطرفدار این برند تبدیل شده است. این تبلت دارای بدنه فلزی و ظاهر شیک مختص به تبلت‌های سامسونگ است. از نظر نمایشگر با یک دنل TFT با رزولوشن 800 × 1340 روبروییم که کیفیت قابل قبولی را دارد. مانند سایر تبلت‌ها این مدل هم یک دوربین بسیار معمولی هشت مگاپیکسلی دارد که با دوربین سلفی با رزولوشن دو مگاپیکسل تکمیل می‌شود. پردازنده این تبلت از نقاط قوت آن است که به خوبی از پس کارهای روزمره و کاربردی برمی‌آيد و در کنار رم چهار گیگابایتی می‌تواند عملکرد خوبی را از خود به نمایش بگذارد. حافظه 64 گیگابایتی برای ذخیره سازی اطلاعات ضروری و نصب برنامه‌های مهم کافیست اما در صورت نیاز می‌توانید به کمک کارت حافظه این ظرفیت را افزایش دهید. همچنین باید به باتری 5100 میلی‌آمپرساعتی اشاره کنیم که دوام خوبی دارد و به شما اجازه می‌دهد تجربه خوبی از کار با این تبلت داشته باشید.
82,82,tablet,تبلت شیائومی مدل Redmi Pad Pro,shi,23899000,۲۳.۸۹۹.۰۰۰,12.1 اینچ,۵۷۱ گرم,8,256,8,8,249,شیائومی در سال‌های اخیر با عرضه‌ی سری ردمی پد توانسته جایگاه خوبی در بازار تبلت‌ها به‌ویژه در میان کاربران دانشجو، گیمرهای موبایلی و علاقه‌مندان به کارهای چندرسانه‌ای پیدا کند. Redmi Pad Pro جدیدترین عضو این خانواده است که در آوریل ۲۰۲۴ معرفی شد و با نمایشگر بزرگ، باتری قدرتمند، پشتیبانی از قلم و سخت‌افزاری مدرن، رقیبی جدی برای تبلت‌های میان‌رده برندهایی مثل سامسونگ و لنوو محسوب می‌شود. در ادامه، این دستگاه را از جنبه‌های مختلف بررسی می‌کنیم.
83,83,tablet,تبلت اپل مدل iPad 2025 Wi-Fi,iph,36700000,۳۶.۷۰۰.۰۰۰,11 اینچ,۴۷۷ گرم,6,128,12,12,264,اپل با نسل یازدهم آیپد ۱۱ اینچی در سال ۲۰۲۵، همچنان جایگاه خود را به عنوان بهترین تبلت برای اکثر مردم حفظ کرده است. این مدل با ارتقای پردازنده به A16 Bionic تعادل بسیار خوبی بین عملکرد، امکانات و قیمت برقرار می‌کند. طراحی آلومینیومی آشنا و خوش‌ساخت آن با ضخامت ۷ میلی‌متر و وزن ۴۷۷ گرم، در کنار صفحه‌نمایش ۱۱ اینچی Liquid Retina با رزولوشن ۱۶۴۰ در ۲۳۶۰ پیکسل و رنگ‌های زنده و روشنایی ۵۰۰ نیت، تجربه‌ی بصری لذت‌بخشی را برای وب‌گردی، تماشای فیلم و بازی ارائه می‌دهد، هرچند نمایشگر ۶۰ هرتزی آن فاقد برخی ویژگی‌های مدل‌های گران‌تر مانند پوشش ضد انعکاس است. تراشه‌ی A16 Bionic با پردازنده ۵ هسته‌ای، گرافیک ۴ هسته‌ای و موتور عصبی ۱۶ هسته‌ای به همراه ۶ گیگابایت رم، جهش عملکردی قابل توجهی نسبت به نسل قبل ایجاد کرده و اجرای روان برنامه‌ها و بازی‌ها را تضمین می‌کند. با این حال، این تراشه برای اجرای قابلیت‌های پیشرفته‌ی Apple Intelligence کافی نیست. گزینه‌های حافظه داخلی از ۱۲۸ گیگابایت تا ۵۱۲ گیگابایت متغیرند. دوربین‌های ۱۲ مگاپیکسلی پشت و جلو مجهز به Center Stage، کیفیت مناسبی برای یک تبلت دارند. عمر باتری مانند همیشه عالی است و تا ۱۰ ساعت استفاده‌ی مداوم را فراهم می‌کند. اتصالات شامل Wi-Fi 6، بلوتوث 5.3 و پورت USB-C 2.0 است و با نسل اول قلم اپل و کیبورد Magic Keyboard Folio سازگار است. آیپد ۲۰۲۵، با وجود نداشتن جدیدترین قابلیت‌های هوش مصنوعی، همچنان یک تبلت فوق‌العاده کارآمد و با ارزش خرید بالاست که نیازهای روزمره‌ی اکثر کاربران را به بهترین شکل برآورده می‌کند.
84,84,tablet,تبلت شیائومی مدل Poco Pad,shi,21999000,۲۱.۹۹۹.۰۰۰,12.1 اینچ,۵۷۱ گرم,6,128,12,8,249,تبلت ۱۱ اینچی شیائومی مدل Redmi Pad 2 Wi-Fi، با ظرفیت داخلی ۲۵۶ گیگابایت و رم ۸ گیگابایت، یک گزینه پیشرفته و شیک برای کاربرانی است که به ترکیب قدرت پردازش، کیفیت نمایشگر و امکانات چندرسانه‌ای اهمیت می‌دهند. بدنه این دستگاه از جنس فلز با قاب جلویی شیشه‌ای، فریم و پشت آلومینیومی طراحی شده و وزن ۵۱۰ گرم آن، استفاده طولانی‌مدت را بدون احساس خستگی ممکن می‌کند. ابعاد ۲۵۴.۶x۱۶۶x۷.۴ میلی‌متر این مدل نشان‌دهنده تعادلی عالی بین اندازه قابل‌حمل و صفحه‌نمایش بزرگ است. نمایشگر ۱۱ اینچی با فناوری IPS LCD و رزولوشن ۲۵۶۰x۱۶۰۰ پیکسل، نرخ تازه‌سازی ۹۰ هرتز و روشنایی تا ۶۰۰ نیت، تصاویری زنده و روان فراهم می‌آورد. تراکم ۲۷۴ پیکسل بر اینچ، نسبت تصویر ۱۶:۱۰ و پوشش ۸۳ درصدی صفحه به بدنه، تجربه بصری غنی را ایجاد می‌کند. پشتیبانی از نمایش یک میلیارد رنگ، عمق رنگ ۱۰ بیت و کنتراست ۱۵۰۰:۱، جزئیات دقیق و رنگ‌هایی با عمق واقعی را به نمایش می‌گذارد. قدرت پردازش این تبلت به تراشه مدیاتک Helio G100 Ultra با معماری ۶ نانومتری و پردازنده هشت‌هسته‌ای، شامل دو هسته ۲.۲ گیگاهرتز Cortex-A76 و شش هسته ۲ گیگاهرتز Cortex-A55، سپرده شده است. پردازنده گرافیکی Mali-G57 MC2 اجرای روان بازی‌ها و پردازش‌های گرافیکی را تضمین می‌کند. فضای ذخیره‌سازی ۲۵۶ گیگابایتی همراه با رم ۸ گیگابایت عملکردی بی‌وقفه در اجرای همزمان چندین برنامه دارد. در صورت نیاز می‌توان با استفاده از کارت حافظه microSDXC تا ظرفیت دو ترابایت، فضای ذخیره را افزایش داد. قابلیت‌های ارتباطی شامل Wi-Fi 802.11 a/b/g/n/ac دو بانده، بلوتوث نسخه ۵.۳، درگاه USB Type-C و جک ۳.۵ میلی‌متری صدا است. سیستم مکان‌یابی با GPS، GALILEO، GLONASS و BDS دقت بالایی در تعیین موقعیت ارائه می‌دهد. دوربین اصلی ۸ مگاپیکسلی با لنز عریض و قابلیت فیلم‌برداری Full HD، کیفیت مناسبی برای ثبت لحظات روزمره دارد. دوربین سلفی ۵ مگاپیکسلی نیز برای تماس‌های ویدئویی و عکس‌های پرتره رضایت‌بخش است. باتری لیتیوم‌پلیمری ۹۰۰۰ میلی‌آمپرساعتی با شارژ سریع ۱۸ وات و پشتیبانی از PD2 و QC2، تا ۱۷ ساعت پخش فیلم را ممکن می‌سازد. چهار اسپیکر استریو مجهز به Dolby Atmos صدایی فراگیر و شفاف ایجاد می‌کنند. پشتیبانی از قلم Redmi Smart Pen تجربه نوشتن و طراحی دقیق را تکمیل می‌کند.
85,85,tablet,تبلت شیائومی مدل Redmi Pad SE,shi,15681300,۱۵.۶۸۱.۳۰۰,11 اینچ,۴۴۴ گرم,8,256,8,8,249,تبلت ۱۱ اینچی شیائومی مدل Redmi Pad 2 Wi-Fi، با ظرفیت داخلی ۲۵۶ گیگابایت و رم ۸ گیگابایت، یک گزینه پیشرفته و شیک برای کاربرانی است که به ترکیب قدرت پردازش، کیفیت نمایشگر و امکانات چندرسانه‌ای اهمیت می‌دهند. بدنه این دستگاه از جنس فلز با قاب جلویی شیشه‌ای، فریم و پشت آلومینیومی طراحی شده و وزن ۵۱۰ گرم آن، استفاده طولانی‌مدت را بدون احساس خستگی ممکن می‌کند. ابعاد ۲۵۴.۶x۱۶۶x۷.۴ میلی‌متر این مدل نشان‌دهنده تعادلی عالی بین اندازه قابل‌حمل و صفحه‌نمایش بزرگ است. نمایشگر ۱۱ اینچی با فناوری IPS LCD و رزولوشن ۲۵۶۰x۱۶۰۰ پیکسل، نرخ تازه‌سازی ۹۰ هرتز و روشنایی تا ۶۰۰ نیت، تصاویری زنده و روان فراهم می‌آورد. تراکم ۲۷۴ پیکسل بر اینچ، نسبت تصویر ۱۶:۱۰ و پوشش ۸۳ درصدی صفحه به بدنه، تجربه بصری غنی را ایجاد می‌کند. پشتیبانی از نمایش یک میلیارد رنگ، عمق رنگ ۱۰ بیت و کنتراست ۱۵۰۰:۱، جزئیات دقیق و رنگ‌هایی با عمق واقعی را به نمایش می‌گذارد. قدرت پردازش این تبلت به تراشه مدیاتک Helio G100 Ultra با معماری ۶ نانومتری و پردازنده هشت‌هسته‌ای، شامل دو هسته ۲.۲ گیگاهرتز Cortex-A76 و شش هسته ۲ گیگاهرتز Cortex-A55، سپرده شده است. پردازنده گرافیکی Mali-G57 MC2 اجرای روان بازی‌ها و پردازش‌های گرافیکی را تضمین می‌کند. فضای ذخیره‌سازی ۲۵۶ گیگابایتی همراه با رم ۸ گیگابایت عملکردی بی‌وقفه در اجرای همزمان چندین برنامه دارد. در صورت نیاز می‌توان با استفاده از کارت حافظه microSDXC تا ظرفیت دو ترابایت، فضای ذخیره را افزایش داد. قابلیت‌های ارتباطی شامل Wi-Fi 802.11 a/b/g/n/ac دو بانده، بلوتوث نسخه ۵.۳، درگاه USB Type-C و جک ۳.۵ میلی‌متری صدا است. سیستم مکان‌یابی با GPS، GALILEO، GLONASS و BDS دقت بالایی در تعیین موقعیت ارائه می‌دهد. دوربین اصلی ۸ مگاپیکسلی با لنز عریض و قابلیت فیلم‌برداری Full HD، کیفیت مناسبی برای ثبت لحظات روزمره دارد. دوربین سلفی ۵ مگاپیکسلی نیز برای تماس‌های ویدئویی و عکس‌های پرتره رضایت‌بخش است. باتری لیتیوم‌پلیمری ۹۰۰۰ میلی‌آمپرساعتی با شارژ سریع ۱۸ وات و پشتیبانی از PD2 و QC2، تا ۱۷ ساعت پخش فیلم را ممکن می‌سازد. چهار اسپیکر استریو مجهز به Dolby Atmos صدایی فراگیر و شفاف ایجاد می‌کنند. پشتیبانی از قلم Redmi Smart Pen تجربه نوشتن و طراحی دقیق را تکمیل می‌کند.
86,86,tablet,تبلت اپل مدل iPad Pro 2024 M4 Wi-Fi,iph,93780000,۹۳.۷۸۰.۰۰۰,11 اینچ,۴۴۴ گرم,8,256,12,12,246,اپل با نسل یازدهم آیپد ۱۱ اینچی در سال ۲۰۲۵، همچنان جایگاه خود را به عنوان بهترین تبلت برای اکثر مردم حفظ کرده است. این مدل با ارتقای پردازنده به A16 Bionic تعادل بسیار خوبی بین عملکرد، امکانات و قیمت برقرار می‌کند. طراحی آلومینیومی آشنا و خوش‌ساخت آن با ضخامت ۷ میلی‌متر و وزن ۴۷۷ گرم، در کنار صفحه‌نمایش ۱۱ اینچی Liquid Retina با رزولوشن ۱۶۴۰ در ۲۳۶۰ پیکسل و رنگ‌های زنده و روشنایی ۵۰۰ نیت، تجربه‌ی بصری لذت‌بخشی را برای وب‌گردی، تماشای فیلم و بازی ارائه می‌دهد، هرچند نمایشگر ۶۰ هرتزی آن فاقد برخی ویژگی‌های مدل‌های گران‌تر مانند پوشش ضد انعکاس است. تراشه‌ی A16 Bionic با پردازنده ۵ هسته‌ای، گرافیک ۴ هسته‌ای و موتور عصبی ۱۶ هسته‌ای به همراه ۶ گیگابایت رم، جهش عملکردی قابل توجهی نسبت به نسل قبل ایجاد کرده و اجرای روان برنامه‌ها و بازی‌ها را تضمین می‌کند. با این حال، این تراشه برای اجرای قابلیت‌های پیشرفته‌ی Apple Intelligence کافی نیست. گزینه‌های حافظه داخلی از ۱۲۸ گیگابایت تا ۵۱۲ گیگابایت متغیرند. دوربین‌های ۱۲ مگاپیکسلی پشت و جلو مجهز به Center Stage، کیفیت مناسبی برای یک تبلت دارند. عمر باتری مانند همیشه عالی است و تا ۱۰ ساعت استفاده‌ی مداوم را فراهم می‌کند. اتصالات شامل Wi-Fi 6، بلوتوث 5.3 و پورت USB-C 2.0 است و با نسل اول قلم اپل و کیبورد Magic Keyboard Folio سازگار است. آیپد ۲۰۲۵، با وجود نداشتن جدیدترین قابلیت‌های هوش مصنوعی، همچنان یک تبلت فوق‌العاده کارآمد و با ارزش خرید بالاست که نیازهای روزمره‌ی اکثر کاربران را به بهترین شکل برآورده می‌کند.
87,87,tablet,تبلت اپل مدل iPad Air 2025 M3 Wi-Fi,iph,65170000,۶۵.۱۷۰.۰۰۰,11 اینچ,۴۴۴ گرم,8,256,12,8,246,اپل با نسل یازدهم آیپد ۱۱ اینچی در سال ۲۰۲۵، همچنان جایگاه خود را به عنوان بهترین تبلت برای اکثر مردم حفظ کرده است. این مدل با ارتقای پردازنده به A16 Bionic تعادل بسیار خوبی بین عملکرد، امکانات و قیمت برقرار می‌کند. طراحی آلومینیومی آشنا و خوش‌ساخت آن با ضخامت ۷ میلی‌متر و وزن ۴۷۷ گرم، در کنار صفحه‌نمایش ۱۱ اینچی Liquid Retina با رزولوشن ۱۶۴۰ در ۲۳۶۰ پیکسل و رنگ‌های زنده و روشنایی ۵۰۰ نیت، تجربه‌ی بصری لذت‌بخشی را برای وب‌گردی، تماشای فیلم و بازی ارائه می‌دهد، هرچند نمایشگر ۶۰ هرتزی آن فاقد برخی ویژگی‌های مدل‌های گران‌تر مانند پوشش ضد انعکاس است. تراشه‌ی A16 Bionic با پردازنده ۵ هسته‌ای، گرافیک ۴ هسته‌ای و موتور عصبی ۱۶ هسته‌ای به همراه ۶ گیگابایت رم، جهش عملکردی قابل توجهی نسبت به نسل قبل ایجاد کرده و اجرای روان برنامه‌ها و بازی‌ها را تضمین می‌کند. با این حال، این تراشه برای اجرای قابلیت‌های پیشرفته‌ی Apple Intelligence کافی نیست. گزینه‌های حافظه داخلی از ۱۲۸ گیگابایت تا ۵۱۲ گیگابایت متغیرند. دوربین‌های ۱۲ مگاپیکسلی پشت و جلو مجهز به Center Stage، کیفیت مناسبی برای یک تبلت دارند. عمر باتری مانند همیشه عالی است و تا ۱۰ ساعت استفاده‌ی مداوم را فراهم می‌کند. اتصالات شامل Wi-Fi 6، بلوتوث 5.3 و پورت USB-C 2.0 است و با نسل اول قلم اپل و کیبورد Magic Keyboard Folio سازگار است. آیپد ۲۰۲۵، با وجود نداشتن جدیدترین قابلیت‌های هوش مصنوعی، همچنان یک تبلت فوق‌العاده کارآمد و با ارزش خرید بالاست که نیازهای روزمره‌ی اکثر کاربران را به بهترین شکل برآورده می‌کند.
88,88,tablet,تبلت سامسونگ مدل Galaxy Tab A9 Plus 5G,sam,18700000,۱۸.۷۰۰.۰۰۰,11 اینچ,۴۹۲ گرم,4,64,8,8,206,تبلت Samsung Galaxy Tab A9 Plus 5G یکی دیگر از مدل‌های سری A سامسونگ است که هم‌زمان با مدل استاندارد A9 معرفی شد، اما تمرکز آن روی اتصال ۵G و نمایشگر بزرگ‌تر است. این مدل با ابعاد ۲۵۷.۱ در ۱۶۸.۷ میلی‌متر و ضخامت ۶.۹ میلی‌متر، طراحی باریک و نسبتا سبک با وزن ۴۹۲ گرم دارد. برخلاف نسخه معمولی، این تبلت از یک سیم‌کارت نانو و قابلیت E-Sim پشتیبانی می‌کند، هرچند در ایران استفاده از E-Sim فعلا امکان‌پذیر نیست. سیستم‌عامل آن اندروید ۱۳ با رابط کاربری One UI ۶.۱ تجربه‌ای روان و مدرن ارائه می‌دهد. نمایشگر ۱۱ اینچی TFT با رزولوشن ۱۹۲۰ در ۱۲۰۰ پیکسل و تراکم ۲۰۶ppi کیفیت بهتری نسبت به نسخه ۸.۷ اینچی دارد و نرخ نوسازی ۹۰ هرتز باعث نمایش روان‌تر محتوا می‌شود. نسبت تصویر ۱۶:۱۰ و قابلیت نمایش ۱۶ میلیون رنگ، تجربه تماشای فیلم و بازی را ارتقا می‌دهد، هرچند پنل TFT هنوز در نمایش رنگ‌ها محدودیت دارد. تراشه Snapdragon 695 5G با لیتوگرافی ۶ نانومتری و پردازنده هشت هسته‌ای (دو هسته Kryo 660 Gold و شش هسته Kryo 660 Silver) همراه با پردازنده گرافیکی Adreno 619، عملکرد مناسبی برای برنامه‌های روزمره، شبکه‌های اجتماعی و بازی‌های سبک تا متوسط ارائه می‌دهد. رم ۴ گیگابایتی و حافظه داخلی ۶۴ گیگابایت قابل ارتقا تا یک ترابایت با کارت microSD فضای کافی برای ذخیره فایل‌ها فراهم می‌کند، هرچند حجم رم کمتر از نسخه استاندارد است و ممکن است در مولتی‌تسکینگ سنگین محدودیت ایجاد کند. دوربین اصلی ۸ مگاپیکسلی با فوکوس خودکار و قابلیت فیلم‌برداری Full HD کیفیت مناسبی برای عکس‌ها و ویدیوهای روزمره ارائه می‌دهد. دوربین سلفی ۵ مگاپیکسلی کیفیت تماس‌های تصویری و کلاس‌های آنلاین را افزایش داده و نسبت به نسخه ۸.۷ اینچی، تجربه بهتری برای ویدیوچت فراهم می‌کند. باتری ۷۰۴۰ میلی‌آمپرساعتی با پشتیبانی از شارژ سریع ۱۵ واتی طول عمر مناسبی برای استفاده روزمره و حتی کاربری نیمه‌سنگین دارد. این تبلت مجهز به چهار اسپیکر ۱.۲ واتی استریو است که کیفیت صدا را در تماشای فیلم و پخش موسیقی بهبود می‌بخشد. حسگرهای قطب‌نما، شتاب‌سنج، مجاورت و ژیروسکوپ نیز امکانات جانبی کامل و کاربردی فراهم می‌کنند.
89,89,tablet,تبلت اپل مدل iPad Air 2025 M3 Wi-Fi,iph,53490000,۵۳.۴۹۰.۰۰۰,11 اینچ,۴۴۴ گرم,8,128,12,8,246,اپل با نسل یازدهم آیپد ۱۱ اینچی در سال ۲۰۲۵، همچنان جایگاه خود را به عنوان بهترین تبلت برای اکثر مردم حفظ کرده است. این مدل با ارتقای پردازنده به A16 Bionic تعادل بسیار خوبی بین عملکرد، امکانات و قیمت برقرار می‌کند. طراحی آلومینیومی آشنا و خوش‌ساخت آن با ضخامت ۷ میلی‌متر و وزن ۴۷۷ گرم، در کنار صفحه‌نمایش ۱۱ اینچی Liquid Retina با رزولوشن ۱۶۴۰ در ۲۳۶۰ پیکسل و رنگ‌های زنده و روشنایی ۵۰۰ نیت، تجربه‌ی بصری لذت‌بخشی را برای وب‌گردی، تماشای فیلم و بازی ارائه می‌دهد، هرچند نمایشگر ۶۰ هرتزی آن فاقد برخی ویژگی‌های مدل‌های گران‌تر مانند پوشش ضد انعکاس است. تراشه‌ی A16 Bionic با پردازنده ۵ هسته‌ای، گرافیک ۴ هسته‌ای و موتور عصبی ۱۶ هسته‌ای به همراه ۶ گیگابایت رم، جهش عملکردی قابل توجهی نسبت به نسل قبل ایجاد کرده و اجرای روان برنامه‌ها و بازی‌ها را تضمین می‌کند. با این حال، این تراشه برای اجرای قابلیت‌های پیشرفته‌ی Apple Intelligence کافی نیست. گزینه‌های حافظه داخلی از ۱۲۸ گیگابایت تا ۵۱۲ گیگابایت متغیرند. دوربین‌های ۱۲ مگاپیکسلی پشت و جلو مجهز به Center Stage، کیفیت مناسبی برای یک تبلت دارند. عمر باتری مانند همیشه عالی است و تا ۱۰ ساعت استفاده‌ی مداوم را فراهم می‌کند. اتصالات شامل Wi-Fi 6، بلوتوث 5.3 و پورت USB-C 2.0 است و با نسل اول قلم اپل و کیبورد Magic Keyboard Folio سازگار است. آیپد ۲۰۲۵، با وجود نداشتن جدیدترین قابلیت‌های هوش مصنوعی، همچنان یک تبلت فوق‌العاده کارآمد و با ارزش خرید بالاست که نیازهای روزمره‌ی اکثر کاربران را به بهترین شکل برآورده می‌کند.
90,90,tablet,تبلت سامسونگ مدل Galaxy Tab A9 Plus 5G,sam,28000000,۲۸.۰۰۰.۰۰۰,11 اینچ,۴۹۲ گرم,6,128,8,8,206,تبلت Samsung Galaxy Tab A9 Plus 5G یکی دیگر از مدل‌های سری A سامسونگ است که هم‌زمان با مدل استاندارد A9 معرفی شد، اما تمرکز آن روی اتصال ۵G و نمایشگر بزرگ‌تر است. این مدل با ابعاد ۲۵۷.۱ در ۱۶۸.۷ میلی‌متر و ضخامت ۶.۹ میلی‌متر، طراحی باریک و نسبتا سبک با وزن ۴۹۲ گرم دارد. برخلاف نسخه معمولی، این تبلت از یک سیم‌کارت نانو و قابلیت E-Sim پشتیبانی می‌کند، هرچند در ایران استفاده از E-Sim فعلا امکان‌پذیر نیست. سیستم‌عامل آن اندروید ۱۳ با رابط کاربری One UI ۶.۱ تجربه‌ای روان و مدرن ارائه می‌دهد. نمایشگر ۱۱ اینچی TFT با رزولوشن ۱۹۲۰ در ۱۲۰۰ پیکسل و تراکم ۲۰۶ppi کیفیت بهتری نسبت به نسخه ۸.۷ اینچی دارد و نرخ نوسازی ۹۰ هرتز باعث نمایش روان‌تر محتوا می‌شود. نسبت تصویر ۱۶:۱۰ و قابلیت نمایش ۱۶ میلیون رنگ، تجربه تماشای فیلم و بازی را ارتقا می‌دهد، هرچند پنل TFT هنوز در نمایش رنگ‌ها محدودیت دارد. تراشه Snapdragon 695 5G با لیتوگرافی ۶ نانومتری و پردازنده هشت هسته‌ای (دو هسته Kryo 660 Gold و شش هسته Kryo 660 Silver) همراه با پردازنده گرافیکی Adreno 619، عملکرد مناسبی برای برنامه‌های روزمره، شبکه‌های اجتماعی و بازی‌های سبک تا متوسط ارائه می‌دهد. رم ۴ گیگابایتی و حافظه داخلی ۶۴ گیگابایت قابل ارتقا تا یک ترابایت با کارت microSD فضای کافی برای ذخیره فایل‌ها فراهم می‌کند، هرچند حجم رم کمتر از نسخه استاندارد است و ممکن است در مولتی‌تسکینگ سنگین محدودیت ایجاد کند. دوربین اصلی ۸ مگاپیکسلی با فوکوس خودکار و قابلیت فیلم‌برداری Full HD کیفیت مناسبی برای عکس‌ها و ویدیوهای روزمره ارائه می‌دهد. دوربین سلفی ۵ مگاپیکسلی کیفیت تماس‌های تصویری و کلاس‌های آنلاین را افزایش داده و نسبت به نسخه ۸.۷ اینچی، تجربه بهتری برای ویدیوچت فراهم می‌کند. باتری ۷۰۴۰ میلی‌آمپرساعتی با پشتیبانی از شارژ سریع ۱۵ واتی طول عمر مناسبی برای استفاده روزمره و حتی کاربری نیمه‌سنگین دارد. این تبلت مجهز به چهار اسپیکر ۱.۲ واتی استریو است که کیفیت صدا را در تماشای فیلم و پخش موسیقی بهبود می‌بخشد. حسگرهای قطب‌نما، شتاب‌سنج، مجاورت و ژیروسکوپ نیز امکانات جانبی کامل و کاربردی فراهم می‌کنند.
