id,img,field,name,brand,price,pricestring,drive,rez,ram,ramtype,rom,romtype,framerate,controlerswith,description
41,41,console,کنسول بازی سونی مدل PlayStation 5 Slim نسخه دیسک‌خور,sony,62905620,۶۲.۹۰۵.۶۲۰,درایو ۴K/HDR Blu-ray ,تا ۴K,16,gddr6,1028,ssd,تا ۱۲۰ فریم بر ثانیه,دو عدد,پلی‌استیشن 5 با طراحی مدرن و قدرت سخت‌افزاری چشمگیر، تجربه‌ای بی‌نظیر برای گیمرها فراهم می‌کند. این دستگاه با یک حافظه داخلی SSD پرسرعت یک ترابایتی عرضه می‌شود که زمان بارگذاری بازی‌ها را به حداقل می‌رساند و تجربه‌ای روان ارائه می‌دهد. طراحی این کنسول با خطوط صاف و مدرن، ترکیبی از پلاستیک مقاوم و فلز است که نه تنها زیبا بلکه دوام بالایی دارد. ابعاد بزرگ‌تر پلی‌استیشن 5 اسلیم نسبت به نسل‌های قبلی، به خاطر سیستم خنک‌کننده پیشرفته و قطعات داخلی قدرتمند آن است، اما همچنان با توجه به کیفیت ساخت، حمل و نقل آن آسان است. پردازنده مرکزی این کنسول، پردازنده AMD Ryzen Zen 2 با هشت هسته و فرکانس متغیر تا 3.5 گیگاهرتز است که همراه با پردازنده گرافیکی RDNA 2 سفارشی با توان پردازشی 10.28 ترافلاپس، امکان اجرای بازی‌ها با کیفیت 4K و نرخ فریم بالا را فراهم می‌کند. کنترلر DualSense، با طراحی ارگونومیک و ویژگی‌های پیشرفته نظیر بازخورد لمسی (Haptic Feedback) و تریگرهای تطبیق‌پذیر (Adaptive Triggers)، تجربه‌ای واقع‌گرایانه در گیم‌پلی ارائه می‌دهد.
42,42,console,کنسول بازی سونی مدل PlayStation 5 Slim نسخه دیسک‌خور,sony,54999000,۵۴.۹۹۹.۰۰۰,درایو ۴K/HDR Blu-ray ,تا ۴k,16,ddr6,1024,ssd,تا ۱۲۰ فریم بر ثانیه,یک عدد,پلی‌استیشن 5 با طراحی مدرن و قدرت سخت‌افزاری چشمگیر، تجربه‌ای بی‌نظیر برای گیمرها فراهم می‌کند. این دستگاه با یک حافظه داخلی SSD پرسرعت یک ترابایتی عرضه می‌شود که زمان بارگذاری بازی‌ها را به حداقل می‌رساند و تجربه‌ای روان ارائه می‌دهد. طراحی این کنسول با خطوط صاف و مدرن، ترکیبی از پلاستیک مقاوم و فلز است که نه تنها زیبا بلکه دوام بالایی دارد. ابعاد بزرگ‌تر پلی‌استیشن 5 اسلیم نسبت به نسل‌های قبلی، به خاطر سیستم خنک‌کننده پیشرفته و قطعات داخلی قدرتمند آن است، اما همچنان با توجه به کیفیت ساخت، حمل و نقل آن آسان است. پردازنده مرکزی این کنسول، پردازنده AMD Ryzen Zen 2 با هشت هسته و فرکانس متغیر تا 3.5 گیگاهرتز است که همراه با پردازنده گرافیکی RDNA 2 سفارشی با توان پردازشی 10.28 ترافلاپس، امکان اجرای بازی‌ها با کیفیت 4K و نرخ فریم بالا را فراهم می‌کند. کنترلر DualSense، با طراحی ارگونومیک و ویژگی‌های پیشرفته نظیر بازخورد لمسی (Haptic Feedback) و تریگرهای تطبیق‌پذیر (Adaptive Triggers)، تجربه‌ای واقع‌گرایانه در گیم‌پلی ارائه می‌دهد.
43,43,console,کنسول بازی سونی مدل PlayStation 5 Slim نسخه دیجیتال,sony,53200000,۵۳.۲۰۰.۰۰۰,بدون درایو (قابلیت خرید و اتصال درایو ۴K/HDR Blu-ray به صورت جداگانه),HDMI با پشتیبانی از وضوح ۴K با نرخ فریم حداکثری ۱۲۰ هرتز و ۸K با نرخ فریم ۶۰ و قابلیت HDR,16,ddr6,1024,ssd,تا ۱۲۰ فریم بر ثانیه,یک عدد,پلی‌استیشن 5 با طراحی مدرن و قدرت سخت‌افزاری چشمگیر، تجربه‌ای بی‌نظیر برای گیمرها فراهم می‌کند. این دستگاه با یک حافظه داخلی SSD پرسرعت یک ترابایتی عرضه می‌شود که زمان بارگذاری بازی‌ها را به حداقل می‌رساند و تجربه‌ای روان ارائه می‌دهد. طراحی این کنسول با خطوط صاف و مدرن، ترکیبی از پلاستیک مقاوم و فلز است که نه تنها زیبا بلکه دوام بالایی دارد. ابعاد بزرگ‌تر پلی‌استیشن 5 اسلیم نسبت به نسل‌های قبلی، به خاطر سیستم خنک‌کننده پیشرفته و قطعات داخلی قدرتمند آن است، اما همچنان با توجه به کیفیت ساخت، حمل و نقل آن آسان است. پردازنده مرکزی این کنسول، پردازنده AMD Ryzen Zen 2 با هشت هسته و فرکانس متغیر تا 3.5 گیگاهرتز است که همراه با پردازنده گرافیکی RDNA 2 سفارشی با توان پردازشی 10.28 ترافلاپس، امکان اجرای بازی‌ها با کیفیت 4K و نرخ فریم بالا را فراهم می‌کند. کنترلر DualSense، با طراحی ارگونومیک و ویژگی‌های پیشرفته نظیر بازخورد لمسی (Haptic Feedback) و تریگرهای تطبیق‌پذیر (Adaptive Triggers)، تجربه‌ای واقع‌گرایانه در گیم‌پلی ارائه می‌دهد.
44,44,console,کنسول بازی سونی مدل PlayStation 5 Slim نسخه دیسک‌خور,sony,116000000,۱۱۶.۰۰۰.۰۰۰,درایو ۴K/HDR Blu-ray ,تا ۴K,16,ddr6,1024,ssd,تا ۱۲۰ فریم بر ثانیه,دو عدد,پلی‌استیشن 5 با طراحی مدرن و قدرت سخت‌افزاری چشمگیر، تجربه‌ای بی‌نظیر برای گیمرها فراهم می‌کند. این دستگاه با یک حافظه داخلی SSD پرسرعت یک ترابایتی عرضه می‌شود که زمان بارگذاری بازی‌ها را به حداقل می‌رساند و تجربه‌ای روان ارائه می‌دهد. طراحی این کنسول با خطوط صاف و مدرن، ترکیبی از پلاستیک مقاوم و فلز است که نه تنها زیبا بلکه دوام بالایی دارد. ابعاد بزرگ‌تر پلی‌استیشن 5 اسلیم نسبت به نسل‌های قبلی، به خاطر سیستم خنک‌کننده پیشرفته و قطعات داخلی قدرتمند آن است، اما همچنان با توجه به کیفیت ساخت، حمل و نقل آن آسان است. پردازنده مرکزی این کنسول، پردازنده AMD Ryzen Zen 2 با هشت هسته و فرکانس متغیر تا 3.5 گیگاهرتز است که همراه با پردازنده گرافیکی RDNA 2 سفارشی با توان پردازشی 10.28 ترافلاپس، امکان اجرای بازی‌ها با کیفیت 4K و نرخ فریم بالا را فراهم می‌کند. کنترلر DualSense، با طراحی ارگونومیک و ویژگی‌های پیشرفته نظیر بازخورد لمسی (Haptic Feedback) و تریگرهای تطبیق‌پذیر (Adaptive Triggers)، تجربه‌ای واقع‌گرایانه در گیم‌پلی ارائه می‌دهد.
45,45,console,کنسول بازی سونی مدل Playstation 4 Slim نسخه دیسک‌خور,sony,48399990,۴۸.۳۹۹.۹۹۰,Blu-ray / DVD-ROM,۱۰۸۰p/Full HD,8,ddr5,1024,hdd,تا ۶۰ فریم بر ثانیه,دو عدد,پلی‌استیشن 4 اسلیم (PS4 Slim) نسخه‌ای سبک‌تر، جمع‌وجورتر و بهینه‌شده از کنسول محبوب PS4 است که در سال 2016 توسط سونی معرفی شد. این مدل از همان سخت‌افزار اصلی PS4 استفاده می‌کند اما با طراحی باریک‌تر، مصرف انرژی کمتر و عملکرد حرارتی بهتر، برای استفاده‌ی طولانی‌مدت مناسب‌تر شده است. پردازنده مرکزی این کنسول از نوع AMD Jaguar با هشت هسته و فرکانس 1.6 گیگاهرتز است و در کنار آن، پردازنده گرافیکی AMD Radeon با توان 1.84 ترافلاپس قرار دارد که امکان اجرای بازی‌ها با کیفیت Full HD را به‌راحتی فراهم می‌کند. PS4 Slim به 8 گیگابایت حافظه رم از نوع GDDR5 مجهز است و در دو مدل با حافظه داخلی 500 گیگابایت و 1 ترابایت HDD عرضه می‌شود. از نظر اتصالات، این کنسول دارای دو پورت USB 3.1، درگاه HDMI، بلوتوث 4.0 و وای‌فای دوبانده با استاندارد 802.11ac است. برخلاف نسخه اولیه PS4، در مدل اسلیم خروجی صدای اپتیکال حذف شده است. همچنین این کنسول از فناوری HDR برای نمایش تصاویر با دامنه دینامیکی بالا پشتیبانی می‌کند.
46,46,console,کنسول بازی سونی مدل PlayStation 5 Slim Digital Edition,sony,52000000,۵۲.۰۰۰.۰۰۰,بدون درایو (قابلیت خرید و اتصال درایو ۴K/HDR Blu-ray به صورت جداگانه),HDMI با پشتیبانی از وضوح ۴K با نرخ فریم حداکثری ۱۲۰ هرتز و ۸K با نرخ فریم ۶۰ و قابلیت HDR,16,ddr6,1024,ssd,تا ۱۲۰ فریم بر ثانیه,یک عدد,پلی‌استیشن 5 با طراحی مدرن و قدرت سخت‌افزاری چشمگیر، تجربه‌ای بی‌نظیر برای گیمرها فراهم می‌کند. این دستگاه با یک حافظه داخلی SSD پرسرعت یک ترابایتی عرضه می‌شود که زمان بارگذاری بازی‌ها را به حداقل می‌رساند و تجربه‌ای روان ارائه می‌دهد. طراحی این کنسول با خطوط صاف و مدرن، ترکیبی از پلاستیک مقاوم و فلز است که نه تنها زیبا بلکه دوام بالایی دارد. ابعاد بزرگ‌تر پلی‌استیشن 5 اسلیم نسبت به نسل‌های قبلی، به خاطر سیستم خنک‌کننده پیشرفته و قطعات داخلی قدرتمند آن است، اما همچنان با توجه به کیفیت ساخت، حمل و نقل آن آسان است. پردازنده مرکزی این کنسول، پردازنده AMD Ryzen Zen 2 با هشت هسته و فرکانس متغیر تا 3.5 گیگاهرتز است که همراه با پردازنده گرافیکی RDNA 2 سفارشی با توان پردازشی 10.28 ترافلاپس، امکان اجرای بازی‌ها با کیفیت 4K و نرخ فریم بالا را فراهم می‌کند. کنترلر DualSense، با طراحی ارگونومیک و ویژگی‌های پیشرفته نظیر بازخورد لمسی (Haptic Feedback) و تریگرهای تطبیق‌پذیر (Adaptive Triggers)، تجربه‌ای واقع‌گرایانه در گیم‌پلی ارائه می‌دهد.
47,47,console,کنسول بازی سونی مدل PlayStation 5 Slim نسخه دیسک‌خور,sony,66000000,۶۶.۰۰۰.۰۰۰,درایو ۴K/HDR Blu-ray ,تا ۴K,16,ddr6,1024,ssd,تا ۱۲۰ فریم بر ثانیه,دو عدد,پلی‌استیشن 5 با طراحی مدرن و قدرت سخت‌افزاری چشمگیر، تجربه‌ای بی‌نظیر برای گیمرها فراهم می‌کند. این دستگاه با یک حافظه داخلی SSD پرسرعت یک ترابایتی عرضه می‌شود که زمان بارگذاری بازی‌ها را به حداقل می‌رساند و تجربه‌ای روان ارائه می‌دهد. طراحی این کنسول با خطوط صاف و مدرن، ترکیبی از پلاستیک مقاوم و فلز است که نه تنها زیبا بلکه دوام بالایی دارد. ابعاد بزرگ‌تر پلی‌استیشن 5 اسلیم نسبت به نسل‌های قبلی، به خاطر سیستم خنک‌کننده پیشرفته و قطعات داخلی قدرتمند آن است، اما همچنان با توجه به کیفیت ساخت، حمل و نقل آن آسان است. پردازنده مرکزی این کنسول، پردازنده AMD Ryzen Zen 2 با هشت هسته و فرکانس متغیر تا 3.5 گیگاهرتز است که همراه با پردازنده گرافیکی RDNA 2 سفارشی با توان پردازشی 10.28 ترافلاپس، امکان اجرای بازی‌ها با کیفیت 4K و نرخ فریم بالا را فراهم می‌کند. کنترلر DualSense، با طراحی ارگونومیک و ویژگی‌های پیشرفته نظیر بازخورد لمسی (Haptic Feedback) و تریگرهای تطبیق‌پذیر (Adaptive Triggers)، تجربه‌ای واقع‌گرایانه در گیم‌پلی ارائه می‌دهد.
48,48,console,کنسول بازی مایکروسافت مدل Xbox Series X نسخه دیسک‌خور,xbox,67500000,۶۷.۵۰۰.۰۰۰,درایو ۴K/HDR Blu-ray,تا ۴K,16,gddr6,1024,,تا ۱۲۰ فریم بر ثانیه,دو عدد,کنسول بازی مایکروسافت مدل Xbox Series X، با ظرفیت یک ترابایت، به عنوان کنسول قدرتمند نسل نهمی این شرکت معرفی شد. این کنسول قدرت بیشتری نسبت به مدل Series S دارد و می‌تواند جدیدترین و چشم‌نوازترین بازی‌های ویدیویی روز رو با وضوح حداکثری 4K و نرخ حداکثری 120 فریم بر ثانیه اجرا کند. خنک کننده این کنسول، هوای گرم را توسط فن خنک‌کننده بزرگ خود از قسمت بالای کنسول خارج می‌کند، البته طراحی مهندسی شده و مینیمال این کنسول اجازه می‌دهد آن را هم به صورت افقی و هم عمودی روی سطوح مختلف قرار داد. در مجموع، اگر از جمله علاقه‌مندان به بازی‌های ویدیویی هستید و همچنین به دنبال گزینه‌ای به‌روز و قدرتمند می‌گردید، Xbox Series X می‌تواند گزینه‌ای فوق‌العاده برای شما باشد. ناگفته نماند که سرویس GamePass که در پلتفرم‌های مایکروسافت در دسترس قرار دارد، می‌تواند به ارزش خرید این کنسول بیفزاید.
49,49,console,کنسول بازی سونی مدل Playstation 4 Slim نسخه دیسک‌خور,sony,45500000,۴۵.۵۰۰.۰۰۰,Blu-ray / DVD-ROM,۱۰۸۰p/Full HD,8,ddr5,1024,hdd,تا ۶۰ فریم بر ثانیه,دو عدد,پلی‌استیشن 4 اسلیم (PS4 Slim) نسخه‌ای سبک‌تر، جمع‌وجورتر و بهینه‌شده از کنسول محبوب PS4 است که در سال 2016 توسط سونی معرفی شد. این مدل از همان سخت‌افزار اصلی PS4 استفاده می‌کند اما با طراحی باریک‌تر، مصرف انرژی کمتر و عملکرد حرارتی بهتر، برای استفاده‌ی طولانی‌مدت مناسب‌تر شده است. پردازنده مرکزی این کنسول از نوع AMD Jaguar با هشت هسته و فرکانس 1.6 گیگاهرتز است و در کنار آن، پردازنده گرافیکی AMD Radeon با توان 1.84 ترافلاپس قرار دارد که امکان اجرای بازی‌ها با کیفیت Full HD را به‌راحتی فراهم می‌کند. PS4 Slim به 8 گیگابایت حافظه رم از نوع GDDR5 مجهز است و در دو مدل با حافظه داخلی 500 گیگابایت و 1 ترابایت HDD عرضه می‌شود. از نظر اتصالات، این کنسول دارای دو پورت USB 3.1، درگاه HDMI، بلوتوث 4.0 و وای‌فای دوبانده با استاندارد 802.11ac است. برخلاف نسخه اولیه PS4، در مدل اسلیم خروجی صدای اپتیکال حذف شده است. همچنین این کنسول از فناوری HDR برای نمایش تصاویر با دامنه دینامیکی بالا پشتیبانی می‌کند.
50,50,console,کنسول بازی مایکروسافت مدل Xbox Series X نسخه دیسک‌خور,xbox,64000000,۶۴.۰۰۰.۰۰۰,درایو ۴K/HDR Blu-ray,تا ۴K,16,gddr6,1024,ssd,تا ۱۲۰ فریم بر ثانیه,یک عدد,کنسول بازی مایکروسافت مدل Xbox Series X، با ظرفیت یک ترابایت، به عنوان کنسول قدرتمند نسل نهمی این شرکت معرفی شد. این کنسول قدرت بیشتری نسبت به مدل Series S دارد و می‌تواند جدیدترین و چشم‌نوازترین بازی‌های ویدیویی روز رو با وضوح حداکثری 4K و نرخ حداکثری 120 فریم بر ثانیه اجرا کند. خنک کننده این کنسول، هوای گرم را توسط فن خنک‌کننده بزرگ خود از قسمت بالای کنسول خارج می‌کند، البته طراحی مهندسی شده و مینیمال این کنسول اجازه می‌دهد آن را هم به صورت افقی و هم عمودی روی سطوح مختلف قرار داد. در مجموع، اگر از جمله علاقه‌مندان به بازی‌های ویدیویی هستید و همچنین به دنبال گزینه‌ای به‌روز و قدرتمند می‌گردید، Xbox Series X می‌تواند گزینه‌ای فوق‌العاده برای شما باشد. ناگفته نماند که سرویس GamePass که در پلتفرم‌های مایکروسافت در دسترس قرار دارد، می‌تواند به ارزش خرید این کنسول بیفزاید.
